動画ID	再生数	コメント数	マイリスト数	C1(堂々)	C2(元気が出る)	C3(切ない)	C4(激しい)	C5(滑稽な)	C6(かわいい)	Valence	Arousal
nm10674682	81710	4514	2999	1	1	1	1	1	1	0	0
nm12177206	50846	2998	2835	1.3333	1.6667	1	1.6667	1	1.3333	0	0
nm13287759	156029	2194	4758	1	1	1	1	1	1	0	0
sm10027079	3784	311	40	1.6667	1	3.3333	3	4.6667	1	-0.3333	-0.6667
sm10037227	389046	22166	16157	1.3333	1	5	3	1.3333	1	0.3333	-1.6667
sm10038694	33832	1424	2231	3.3333	4.3333	2.6667	2.3333	2.3333	4.6667	-0.3333	1.6667
sm10066433	28345	796	1590	1.6667	1.6667	3.3333	1.3333	2	1	0	-0.3333
sm10175368	8432	283	315	2.6667	1.3333	4	3.6667	2	1.6667	0.3333	-1
sm10219141	22770	556	1190	1.6667	1.6667	4	3.6667	3.6667	2.6667	0.6667	-1.3333
sm10242501	151888	2629	7335	2.3333	2	2.6667	2.3333	4	1.3333	0	-0.3333
sm10385393	61021	2867	3439	2.6667	3.3333	2	1.6667	1	2.6667	-0.3333	0.6667
sm10393864	3803334	124097	118897	3.6667	4	3	2.6667	3	4	0.3333	0.3333
sm10443985	43611	2013	3052	2	2.3333	2.3333	2.3333	4.6667	1.6667	0	0
sm10445286	21564	410	917	3	2.3333	4.6667	3.3333	1.6667	1	0.3333	-1.3333
sm10446457	213559	6512	9280	3.6667	4.3333	1	2.3333	3.6667	4.3333	0.6667	1.3333
sm10446708	60287	1407	3492	2.6667	3.3333	3	2.3333	2	2.3333	0.3333	0.3333
sm10453745	21970	580	829	2.3333	1.6667	3.6667	3.6667	2.3333	1.3333	1	-1
sm10533832	1106041	15903	44982	1.6667	1.3333	2.6667	2	2	1.3333	-0.3333	-1
sm10543519	174208	3767	7985	4	4.3333	2	1.3333	2	4.3333	0	1.6667
sm10565041	25413	609	1235	2	2	3.3333	2	2.6667	2.6667	-0.3333	-1
sm10626762	15241	281	781	2.6667	2.3333	2.6667	3.3333	2.6667	1	1	-0.3333
sm10628168	44729	800	1808	1.6667	1.3333	3	4	2.3333	1	1.6667	-1
sm10632158	8829	217	462	2	3.3333	3.3333	1.6667	1.6667	1.6667	-1.3333	0
sm10659443	2336	335	153	3	4	2.3333	2	2.3333	4.3333	-1	1
sm10713103	174329	4734	7470	3.6667	4	2	1	1.3333	4.6667	-0.3333	1
sm10820620	72850	1896	4062	3	4.6667	2	1.6667	1	3.6667	0.3333	1
sm10868543	49777	623	3308	4	4.6667	1	2	2.6667	4.3333	0	1.6667
sm10907267	2071	245	124	3.6667	2	2.6667	3	4	2.6667	-0.6667	0
sm10971662	15126	307	729	2.6667	3.3333	1.6667	1.3333	1	2.6667	-1	0.3333
sm10975244	16018	449	766	4.3333	5	1	1.6667	3.6667	4.6667	0	2
sm11049254	4335	201	223	2	4	1	1.3333	2.3333	4.6667	-1	1.6667
sm11080597	13350	328	573	3	4	1.3333	1	2.6667	3.6667	-0.6667	1.3333
sm11086161	228796	5213	9120	2	2.3333	3.3333	2.6667	2	3	0.6667	0.3333
sm11139657	39156	1140	1987	2	1.6667	3.6667	1.6667	2.3333	2.3333	-1	0.3333
sm11146117	43289	1161	2247	2.6667	2	2.6667	4.6667	2.6667	1	1.6667	-0.6667
sm11151641	16153	531	931	2.6667	1.3333	4.6667	3	2.3333	1.3333	-0.6667	-1.3333
sm11165729	53778	1231	2636	3	2.5	2.75	2.75	2.75	2	0.75	-0.25
sm11183729	16510	370	778	2.3333	2.3333	3.3333	3.6667	1.3333	2	0.3333	-0.6667
sm11237572	255806	3839	11101	3.25	2.25	3.25	3.75	3.75	1.75	1.25	-0.75
sm11240351	8724	302	512	3.6667	4.6667	1.6667	2	2	4.3333	0.3333	1.3333
sm11244099	16557	219	578	1.6667	2.3333	4	1	2.3333	2.3333	-1	-0.6667
sm11252628	7982	295	414	1.6667	1.6667	3	2	3.3333	2.3333	0	-0.3333
sm11270299	18548	332	937	2.3333	2.6667	3	2.3333	2.6667	2.6667	0.3333	0.3333
sm11294837	5842	221	264	2.6667	1.6667	4.3333	3	2.3333	1.6667	1	-1.3333
sm11325190	143711	9373	8555	4.3333	4.6667	1	3	3.3333	4.6667	0.6667	1.6667
sm11398259	45169	1447	1917	2	2.6667	4.6667	2	1	4	-1.3333	-1.3333
sm11398357	6734047	446846	199531	3.6667	2.6667	3	3.6667	2.6667	2	1.3333	-0.3333
sm11407152	21886	1174	1183	2.3333	2	3.3333	2.6667	1.3333	2	0	0.3333
sm11409063	214786	4675	8796	3.6667	4	4	3	2	3.6667	0.3333	-0.3333
sm11412217	21358	431	734	4	4	1.3333	2.6667	4	4	0.6667	1.3333
sm11477181	24394	865	1130	2.6667	2.3333	2.6667	3	2.6667	1	0.6667	0
sm11589161	5923	207	248	2.6667	3	2	2	2	2.3333	-1	0.3333
sm11641089	869906	14627	32021	3.6667	3.6667	1	2	2.6667	3	1	1.3333
sm11714132	365011	9375	16212	4.6667	4.6667	1	1.6667	2.6667	3.6667	0	1.6667
sm11760748	24031	413	1301	2.6667	2	3.6667	3.3333	2.6667	1.6667	-0.3333	-1
sm11774439	73514	2190	2940	4.3333	4.3333	1	2.6667	4	3.6667	0.3333	1.3333
sm11788815	4713	466	217	2.6667	1.6667	4.3333	3.6667	3.3333	1.3333	1.3333	-1
sm11849610	31169	1202	1676	2.6667	2.6667	1.3333	2.6667	2.3333	1.3333	0	0.3333
sm11879325	89171	2240	4461	3.3333	3.3333	1.6667	2	3	2	-0.3333	0.3333
sm11964950	133734	2664	6635	2	1	3.6667	3.3333	2.6667	1.6667	1	-1
sm11970630	844791	16543	33875	4	3.6667	1.3333	3.3333	3	3	0.6667	0.6667
sm12041264	46539	1153	2813	3	1.6667	3.6667	2	1.6667	2.6667	0	-0.6667
sm12090023	4431	213	284	1.6667	1.3333	4	2.6667	1.3333	1.6667	1	-1
sm12177762	158232	3740	7706	4	3.6667	1.3333	3.3333	4.3333	3.6667	0.6667	1.3333
sm12183265	22786	372	1137	3	1.6667	4.3333	3	2.6667	2.3333	0.3333	-0.6667
sm12253877	11781	260	692	1.3333	1.6667	3.3333	1.6667	1.3333	2	-0.6667	-0.3333
sm12264707	248475	8518	11380	1.6667	2	3	2.3333	2	1.6667	0	-1
sm12339479	56133	1515	3019	1	1	5	1.6667	2.6667	1.3333	-1	-2
sm12347529	72851	2141	3871	2.3333	2.6667	2.6667	1.6667	3	3	-0.3333	0
sm12355109	64794	1892	3876	3	2.6667	3.3333	2.3333	2.6667	2.3333	-0.3333	-0.6667
sm12365006	71917	2097	1921	3.6667	4.3333	1	1.6667	3	3.6667	-0.3333	1.3333
sm12377743	6064	241	353	3	1.6667	3.6667	2.6667	1.6667	1.6667	1	-1
sm12396792	240448	4765	10027	3	2.3333	3.3333	3.3333	1.6667	1.6667	1	-1
sm12412526	17641	423	632	3.3333	3	1.6667	1.6667	3	3.6667	0	1.3333
sm12468990	18344	224	902	2	4.3333	2	1	3	5	-0.6667	1.3333
sm12476122	15074	346	841	3.3333	3.6667	2.6667	1.3333	2	4.3333	-0.3333	0.6667
sm12507705	8384	335	421	3.3333	4	1.6667	2.6667	2	4.6667	0.3333	1.3333
sm12527072	25336	651	1254	3	4	2	2.3333	2	3	0	1.3333
sm12549171	390500	9356	16226	2.3333	2.3333	3.6667	3.3333	1	2.3333	0.6667	-0.3333
sm12556756	19550	336	1033	2.6667	3.3333	1	1	1.3333	3.6667	-0.3333	1
sm12581573	6471	248	221	2.6667	2.3333	3	2	4	2	-0.3333	0.3333
sm12588223	11459	214	669	1	1	4.6667	1.3333	4	1.3333	-1	-1.6667
sm12595936	198471	5601	7074	2	1	4.3333	2.3333	3	1	0.6667	-1.6667
sm12616812	17338	462	1051	3.3333	4.3333	4	1	2	4.6667	0	-0.3333
sm12645546	38367	945	2103	3.3333	3.6667	2.6667	2.6667	2	2.3333	1	0
