動画ID,あおい,あぶない,あらい,あわい,いい,うい,うまい,うるさい,うれしい,ええ,おいしい,おおい,おかしい,おもい,おもしろい,おもたい,おもろい,かっこいい,かっこいー,かっこよい,からい,かるい,かわいい,かわゆい,くい,くさい,こい,こわい,すい,すごい,すっごい,すばらしい,せつない,っぽい,つらい,でかい,とおい,ない,なつかしい,なるい,はやい,ひどい,ほしい,ぽい,まるい,やすい,やばい,ゆるい,よい,わるい,わろい,イイ,カッコイイ,上手い,丸い,低い,優しい,凄い,切ない,危ない,可愛い,多い,大きい,大人っぽい,嬉しい,弱い,強い,怖い,恋しい,悪い,悲しい,憎い,懐かしい,新しい,早い,明るい,格好いい,楽しい,欲しい,汚い,深い,激しい,無い,熱い,珍しい,痛い,眩しい,短い,素晴らしい,美しい,美味しい,良い,赤い,軽い,近い,酷い,重い,長い,面白い,高い
nm10674682,0.0,0.0,0.1326878051842862,0.0,0.18366624636364087,0.16547706931715575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8157537305968305,0.08632017701412463,0.0,0.14455136449089748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26765810327279943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39476159472028616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm12177206,0.0,0.0,0.0,0.0,0.1420400605015101,0.07998330328373547,0.04700618576676419,0.0,0.0,0.06638466161315372,0.0,0.0366456721477543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610925451891374,0.12516851294472392,0.04924944962965191,0.0,0.0,0.0,0.0484657712397402,0.0,0.0,0.0,0.0,0.03605380737498779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03493270311067539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272052838320774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051245009457423725,0.0,0.0,0.0
nm13287759,0.0,0.0,0.0,0.0,0.25226428638768467,0.0,0.06071517297247991,0.0,0.0,0.0,0.0,0.047333096418064304,0.0,0.0,0.0,0.0,0.0,0.2239002834186836,0.0,0.0650454774194746,0.0,0.0,0.03183045345828526,0.0,0.0,0.0,0.05243996932781795,0.6533253439195593,0.0,0.335797946583888,0.07882428886521635,0.0,0.0,0.13970585671109276,0.09156275614633799,0.0,0.0,0.041775739316445376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2059545475967151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05689434201950593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4938435965438808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039109890670066295,0.0,0.0,0.0,0.0,0.0,0.0,0.07609902485401947,0.0
sm10027079,0.0,0.0,0.0,0.25941946353638656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14857513342155093,0.8226795229733483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2457504945416666,0.11670382260015853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39976528910179626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.0,0.0,0.25159659302859966,0.0,0.0,0.0,0.0,0.13438586777967162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8480771795757033,0.0,0.0,0.0,0.0,0.0,0.0,0.15788574509002964,0.0,0.0,0.0,0.07298556734510533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3227862422704836,0.0,0.0707160586096528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12875408293522103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09288751868287186,0.0,0.0,0.0,0.0,0.15064111380158426,0.0,0.0,0.0,0.0,0.10981675439471757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10037227,0.0,0.0,0.0,0.0,0.18698803983476747,0.03828861199177848,0.0,0.0,0.0,0.1271153576488218,0.0,0.0,0.05897778163158341,0.0,0.0,0.0,0.0,0.8851389038994766,0.11909743921488908,0.1928568882571395,0.0,0.0,0.0,0.0,0.0,0.0,0.07774106445281358,0.0,0.0,0.02489064175963615,0.05842760969987169,0.0,0.0,0.03451846034690948,0.0,0.0,0.0,0.06193158547560226,0.0,0.0,0.0,0.0,0.11616882065634225,0.0,0.0,0.0,0.03053229428677951,0.0,0.10033529451644646,0.0,0.0,0.03872294021878075,0.04935650490853631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07400375483088117,0.0,0.0,0.0,0.05549040571116852,0.06511168243421563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05789674608065651,0.0,0.0,0.0,0.0,0.0,0.0,0.15688112669171841,0.0,0.028989762678133805,0.1547589680789601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10066433,0.0,0.0,0.0,0.0,0.5597604468429261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15538602008850833,0.0,0.0,0.44054984506504014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27896233121437075,0.0,0.0,0.2010807512505153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37465407852837657,0.0,0.0,0.33976307386178906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30721520998551494
sm10175368,0.0,0.0,0.0,0.0,0.5926392270742828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41128241269449334,0.0,0.0,0.0,0.0,0.0,0.0,0.43388571208975196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539785802319181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10219141,0.0,0.0,0.0,0.0,0.5666024658155382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457403244338588,0.0,0.0,0.0,0.0,0.09830332626212351,0.0,0.0,0.2787092116104687,0.0,0.0,0.0,0.31111767048290134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16133762334528393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36608800575367945,0.0,0.0,0.0,0.0,0.0,0.0,0.18303709694040657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12078471793227864,0.0,0.0,0.0,0.0,0.40883605113654764,0.0,0.0,0.0
sm10385393,0.0,0.0,0.0,0.0,0.24201728945285106,0.05451234586600076,0.0,0.0,0.0,0.4071981447296116,0.0,0.14985439254920133,0.0,0.3212346541445505,0.0,0.09270094600277781,0.0,0.6300959418322838,0.0,0.1372873140135149,0.0,0.0,0.03359124748165679,0.0,0.0,0.0,0.16602251582087132,0.0,0.0,0.0708747171466731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05513070859314267,0.12061178606086012,0.0,0.0,0.13040851310573723,0.0,0.0,0.0,0.0,0.05513070859314267,0.1405399008399062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07445171286528708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625456396587692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3492586033287292,0.0,0.0,0.0
