動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
nm10674682,5,2,0,0,0,0,0,16,1,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
nm12177206,8,2,1,2,1,0,0,39,3,1,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0
nm13287759,11,0,1,0,1,6,1,1,0,0,1,9,0,10,3,1,0,0,5,0,0,1,0,7,0,0,0,1,0,0
sm10027079,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
sm10038694,7,0,0,2,0,0,0,17,0,0,0,0,0,3,1,0,0,0,5,1,0,0,2,0,0,0,1,0,0,0
sm10037227,11,1,0,4,0,32,4,0,0,0,2,0,0,1,1,2,3,0,1,3,1,0,0,0,0,0,0,1,0,0
sm10066433,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
sm10175368,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10219141,8,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0
sm10385393,10,1,0,9,3,16,2,1,0,0,3,0,0,2,0,0,1,2,3,0,1,0,0,1,0,0,1,0,5,0
sm10242501,20,0,0,1,0,10,0,0,0,0,0,2,0,2,3,1,0,1,2,1,0,1,0,0,0,0,0,5,0,0
sm10393864,45,7,7,0,0,1,0,13,3,2,2,0,0,2,0,8,1,0,3,2,2,0,13,0,0,1,0,10,1,1
sm10443985,2,0,1,8,0,0,0,2,0,0,1,11,0,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sm10445286,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm10446457,23,3,0,7,1,0,0,133,8,0,4,1,0,0,5,2,0,1,0,0,2,0,34,0,0,0,0,1,0,1
sm10446708,12,0,0,0,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
sm10453745,1,5,0,0,0,2,0,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
sm10533832,58,2,0,7,7,14,0,5,0,0,3,2,7,16,0,7,5,2,21,3,4,1,0,2,2,1,3,4,1,3
sm10543519,12,0,1,2,0,1,0,3,1,0,0,0,0,8,1,1,1,0,0,1,1,0,0,0,2,0,2,0,1,0
sm10565041,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm10628168,1,0,1,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm10626762,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm10632158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10659443,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10820620,19,0,1,1,0,1,0,3,0,1,1,0,0,1,1,1,0,0,1,0,1,0,2,0,0,0,1,1,0,0
sm10713103,25,1,0,3,0,0,0,66,1,0,0,0,0,4,7,22,1,0,1,0,0,0,13,0,2,0,0,3,0,0
sm10868543,13,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
sm10971662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10907267,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10975244,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11049254,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11080597,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
sm11139657,14,0,0,0,1,6,0,0,0,1,0,0,0,5,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0
sm11086161,14,1,1,1,8,30,2,3,0,1,9,0,2,0,13,8,0,3,3,1,0,0,1,0,1,1,1,0,0,0
sm11151641,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm11146117,6,0,0,0,0,23,0,1,0,0,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
sm11165729,8,0,0,1,1,4,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
sm11183729,3,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm11237572,31,0,0,1,1,51,5,15,0,0,3,0,0,4,2,0,1,0,3,2,2,1,2,0,0,0,0,8,0,0
sm11240351,4,0,0,0,5,0,0,25,3,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
sm11244099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm11252628,8,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm11270299,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11294837,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11325190,24,3,0,3,5,0,0,61,4,0,0,0,0,4,5,7,0,0,4,2,0,0,23,0,0,0,1,3,0,0
sm11398259,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
sm11398357,31,44,0,7,5,77,4,4,0,0,5,1,0,3,0,5,3,2,8,6,3,1,3,0,2,2,4,6,0,0
sm11407152,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0
sm11409063,18,0,1,0,0,2,0,4,0,0,1,0,1,4,5,3,1,0,0,0,3,0,1,0,0,0,0,5,1,0
sm11412217,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
sm11477181,2,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sm11589161,2,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm11641089,30,17,0,2,2,41,4,5,0,0,0,0,0,19,5,8,3,3,10,3,1,2,0,1,1,0,2,5,7,2
sm11714132,32,6,1,1,3,0,0,71,2,0,3,0,2,12,3,1,0,0,1,11,0,0,14,1,5,1,2,7,2,1
sm11760748,2,0,0,1,0,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sm11774439,2,1,0,0,3,0,0,3,0,0,1,0,0,0,5,1,1,2,1,0,0,1,1,0,0,0,2,2,0,0
sm11788815,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11849610,8,0,1,1,0,5,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sm11879325,4,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
sm11964950,26,0,0,2,0,27,2,5,0,0,3,0,1,2,5,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0
sm12041264,7,0,0,1,8,4,0,4,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sm11970630,56,2,1,7,11,47,2,10,1,9,5,0,3,10,1,5,2,1,9,1,4,1,1,0,0,0,2,17,0,2
sm12090023,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm12183265,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm12177762,15,0,0,0,1,1,0,5,0,0,0,0,1,2,0,2,0,0,3,0,0,0,1,0,5,0,0,2,0,0
sm12253877,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12264707,41,1,2,0,3,16,0,1,0,0,3,0,1,3,4,16,0,0,3,1,0,1,1,0,0,1,1,7,0,1
sm12339479,3,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
sm12347529,9,4,0,0,1,0,0,18,1,0,0,0,0,0,3,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0
sm12355109,4,0,0,2,0,1,0,1,0,0,0,0,0,3,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,1
sm12365006,8,0,0,0,0,0,0,10,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sm12412526,5,0,1,0,0,0,0,5,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sm12377743,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
sm12396792,20,1,0,1,0,28,6,5,0,0,2,0,0,8,0,4,0,0,6,1,0,1,1,0,0,0,2,2,0,1
sm12468990,7,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
sm12476122,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm12507705,4,0,0,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
