動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
nm10674682,0.1873074130976073,0.16875763726015675,0.0,0.0,0.0,0.0,0.0,0.8319259745761478,0.08803146672160647,0.0,0.0,0.0,0.0,0.0,0.0,0.2729644009786059,0.0,0.0,0.0,0.0,0.0,0.0,0.4025877076561228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm12177206,0.1420400605015101,0.07998330328373547,0.04700618576676419,0.06638466161315372,0.0366456721477543,0.0,0.0,0.9610925451891374,0.12516851294472392,0.04924944962965191,0.0,0.0,0.0484657712397402,0.0,0.03605380737498779,0.0,0.0,0.0,0.0,0.03493270311067539,0.0,0.0,0.1272052838320774,0.0,0.0,0.0,0.0,0.0,0.051245009457423725,0.0
nm13287759,0.25487587970822284,0.0,0.061343733370231045,0.0,0.0478231174203073,0.22621823532941981,0.06571886776256446,0.032159981671857296,0.0,0.0,0.05298285978443727,0.6600889652341376,0.0,0.3392743311601858,0.14115217670926342,0.042208227177972096,0.0,0.0,0.208086714335575,0.0,0.0,0.057483346851391684,0.0,0.49895616581237606,0.0,0.0,0.0,0.03951478004502901,0.0,0.0
sm10027079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15907837367765199,0.8808373080923914,0.0,0.0,0.0,0.0,0.0,0.0,0.12495398034423406,0.0,0.0,0.0,0.0,0.42802594605555827,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.256085745601951,0.0,0.0,0.1367836691843059,0.0,0.0,0.0,0.863209132704576,0.0,0.0,0.0,0.0,0.0,0.16070284682552824,0.074287824039128,0.0,0.0,0.0,0.32854560758099177,0.07197782122997852,0.0,0.0,0.13105139831529233,0.0,0.0,0.0,0.09454487913639771,0.0,0.0,0.0
sm10037227,0.1958254879546281,0.040098212340323874,0.0,0.1331230968574453,0.0,0.9269724305196507,0.20197171049944065,0.0,0.0,0.0,0.08141527069879369,0.0,0.0,0.026067025850379056,0.03614987539764129,0.06485860248751911,0.12165920349902572,0.0,0.03197531474401392,0.10507735160557138,0.04055306783300857,0.0,0.0,0.0,0.0,0.0,0.0,0.030359879846597985,0.0,0.0
sm10066433,0.7547045363964136,0.0,0.0,0.0,0.0,0.0,0.0,0.20950128740748386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3761147077086749,0.2711098220795635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41420703076419035
sm10175368,0.5926392270742828,0.0,0.0,0.0,0.0,0.0,0.0,0.41128241269449334,0.0,0.0,0.0,0.0,0.0,0.43388571208975196,0.0,0.539785802319181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10219141,0.6381642789608867,0.0,0.0,0.0,0.0,0.38940727963910304,0.0,0.1107190227865127,0.0,0.0,0.0,0.0,0.0,0.3504117892779328,0.0,0.0,0.1817145428818618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20615465699384397,0.1360398111183668,0.46047198790643923,0.0
sm10385393,0.25969921710097155,0.0584950503980244,0.0,0.4369482842747476,0.16080284392967278,0.6761311275003858,0.14731760713381153,0.03604544407613802,0.0,0.0,0.1781522199396983,0.0,0.0,0.07605286629255312,0.0,0.0,0.05915859107516457,0.12942375515389548,0.13993623692517054,0.0,0.05915859107516457,0.0,0.0,0.0798911994537819,0.0,0.0,0.06711526143104853,0.0,0.3747756453900788,0.0
sm10242501,0.6823102698532566,0.0,0.0,0.06377769232069072,0.0,0.5551268324116766,0.0,0.0,0.0,0.0,0.0,0.21597616174883924,0.0,0.09990721632212311,0.20782770397936054,0.06214597002995775,0.0,0.08500907154269766,0.12255194380189395,0.0671217458004257,0.0,0.08463654101332689,0.0,0.0,0.0,0.0,0.0,0.2909011466016197,0.0,0.0
