動画ID,あぶない,あらい,いい,うい,うまい,うるさい,うれしい,ええ,おいしい,おおい,おかしい,おもい,おもしろい,おもたい,おもろい,かっこいい,かっこいー,かっこよい,からい,かるい,かわいい,かわゆい,くい,くさい,こい,こわい,すい,すごい,すっごい,すばらしい,せつない,っぽい,つらい,でかい,とおい,ない,なつかしい,なるい,はやい,ひどい,ほしい,ぽい,まるい,やすい,やばい,よい,わるい,わろい,イイ,カッコイイ,上手い,低い,優しい,凄い,切ない,危ない,可愛い,多い,大きい,嬉しい,小さい,少ない,弱い,強い,怖い,恋しい,悪い,悲しい,惜しい,懐かしい,新しい,早い,明るい,格好いい,楽しい,欲しい,気持ちいい,汚い,深い,激しい,無い,熱い,珍しい,痛い,眩しい,短い,素晴らしい,美しい,美味しい,良い,赤い,軽い,近い,遅い,重い,長い,難しい,面白い,高い,黒い
nm12177206,0.0,0.0,0.19080479811440978,0.07892503147269042,0.041208665081387263,0.0,0.0,0.0609393391434701,0.0,0.03715098556893045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9453727544775679,0.12795995323139245,0.0,0.0,0.0,0.0,0.04538852405503978,0.02394758901475923,0.0,0.0,0.0,0.03351780883239902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06358555238955067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11518342341558284,0.0,0.0,0.12717110477910135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025568727831074556,0.0,0.0,0.0,0.0,0.0507481934831185,0.0,0.0,0.0,0.0,0.0
nm10674682,0.0,0.1279672487517638,0.20152779734938453,0.15282762537216507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7707731352943435,0.08259236826892576,0.0,0.12936870089320174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649026935555444,0.0,0.0,0.0,0.23117377639500336,0.0,0.0,0.13940874514822554,0.12176546850346139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3693744100577868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27139068523860127,0.0,0.0,0.0,0.0,0.0,0.0
nm13287759,0.0,0.0,0.3475518963585805,0.0,0.045871093915746154,0.0,0.0,0.033917067484384514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1948390791626858,0.0,0.05445793544585876,0.0,0.0,0.02769300194534429,0.0,0.0,0.0,0.045532318725454254,0.6353395921188592,0.0,0.34654185797011766,0.06494692990012575,0.0,0.0,0.14924031669207788,0.07904200471277531,0.0,0.0,0.06644648648242937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24573115433381743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08547700057092761,0.0,0.0,0.0,0.0,0.0,0.05776232131006332,0.0,0.0,0.0,0.0,0.4139157122616563,0.0,0.058778883717666826,0.0,0.0,0.0,0.0,0.05588575574163241,0.0,0.0,0.0,0.0,0.06999831627197318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313443191661052,0.0,0.0,0.028461623625248716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11755776743533365,0.0,0.0
sm10027079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15674256681356388,0.8748489974117758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724222522280014,0.12084518976065983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40710932994054505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.3005346847548055,0.0,0.0,0.0,0.0,0.11731491372684384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8141864903911484,0.0,0.0,0.0,0.0,0.0,0.0,0.1383052086904736,0.0,0.0,0.0,0.06452545936260093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36426577247923897,0.06120458227559534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12240916455119068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16754225694954358,0.0,0.0,0.0,0.0,0.0,0.14761563350038956,0.0,0.0,0.0,0.0,0.09189269236044537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10037227,0.0,0.0,0.16828273258030607,0.03480447058057486,0.0,0.0,0.0,0.18811180404872324,0.0,0.0,0.048970473673416046,0.0,0.05225662358178896,0.0,0.0,0.849060174857713,0.1119663745146427,0.21574010712634034,0.0,0.07024621730132191,0.0,0.0,0.0,0.0,0.07215218306838823,0.0,0.0,0.06336264744816376,0.05145864417908469,0.0,0.0,0.029561460278573842,0.0,0.05892402153497965,0.0,0.05264677037248335,0.0,0.0,0.0,0.0,0.13064234210317763,0.03747135656269937,0.0,0.039684950172520723,0.08344170092208845,0.08412013702867435,0.0,0.0,0.033636352555510785,0.045253237659230866,0.0455074024206687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06442376505317393,0.0,0.0,0.0,0.04657158801998053,0.05959204589564796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05892402153497965,0.04963849803408434,0.0,0.0,0.0,0.0,0.0,0.0,0.1380889181872732,0.0,0.04510133320059732,0.21073865190396573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07345054400176526
sm10175368,0.0,0.0,0.605123492071445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43394720606665166,0.0,0.0,0.0,0.0,0.0,0.0,0.41771416961105584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5206056609338328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10066433,0.0,0.0,0.5247026550336606,0.0,0.0,0.0,0.29640219875980517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12542522540216092,0.0,0.0,0.33682748350212033,0.0,0.0,0.0,0.12073333609410561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21419757860437502,0.0,0.0,0.3179852903063095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29640219875980517,0.0,0.0,0.45566844339254275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22491962976231897,0.0
sm10219141,0.0,0.0,0.7187701634942829,0.0,0.0,0.0,0.0,0.11478060088699003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32968278570747916,0.0,0.0,0.0,0.0,0.09371740068962756,0.0,0.0,0.2516766155566603,0.0,0.0,0.0,0.2706348997750774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13950007845868295,0.0,0.0,0.0,0.0,0.11976480240163326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16392290047118513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09631853530466512,0.0,0.0,0.0,0.0,0.38234140532492045,0.0,0.0,0.0,0.0,0.0
sm10242501,0.0,0.0,0.7291356008308352,0.0,0.11548058741196221,0.0,0.0,0.08538629760131754,0.0,0.05205479997908479,0.0,0.0,0.0,0.0,0.0,0.4496321890139924,0.0,0.13709798127076542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15994689256533481,0.0635969814756921,0.10066384003447383,0.0,0.0,0.0,0.14089231882722,0.0,0.0,0.0,0.12545939014250237,0.08436212960707123,0.0,0.0,0.0,0.0,0.05953050882206489,0.0,0.0,0.22093884362752522,0.04454704445264826,0.0,0.0,0.0,0.0718935344438935,0.14459464880807707,0.0,0.0,0.053797137769778354,0.0,0.0,0.0,0.0,0.0,0.072708390249168,0.0,0.08237709232344054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149566143536195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
