動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,多い,怖い,早い,欲しい,良い,重い,高い
nm12177206,11,2,1,2,1,0,0,38,3,0,0,0,1,1,1,0,0,0,0,2,0,3,4,0,0,0,0,1,1,0
nm10674682,6,2,0,0,0,0,0,16,1,0,0,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
nm13287759,18,0,1,1,0,6,1,1,0,0,1,10,0,13,4,2,0,0,7,0,0,2,0,0,7,1,0,1,0,0
sm10027079,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
sm10038694,9,0,0,2,0,0,0,17,0,0,0,0,0,3,1,0,0,0,6,1,0,0,2,0,0,0,2,0,0,0
sm10037227,11,1,0,7,0,33,5,0,0,0,2,0,0,3,1,2,4,1,3,3,1,0,0,0,0,0,0,2,0,0
sm10175368,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10066433,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1
sm10219141,11,0,0,1,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0
sm10242501,30,0,2,2,1,11,2,0,0,0,0,2,1,3,3,3,0,1,5,1,0,1,0,0,0,0,0,6,0,0
sm10385393,10,1,0,11,3,16,2,1,0,0,3,0,0,3,0,1,1,2,3,1,1,0,0,0,1,0,1,0,5,0
sm10393864,77,8,7,1,0,1,0,16,3,2,2,0,1,6,1,12,1,0,4,3,4,0,13,1,0,1,0,23,1,1
sm10443985,3,0,1,8,0,0,0,2,0,0,1,11,0,3,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0
sm10445286,1,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm10446457,30,3,1,9,1,0,0,135,9,0,2,1,0,0,6,2,2,1,0,0,2,0,37,0,0,0,0,1,0,2
sm10446708,16,0,1,1,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
sm10453745,1,5,0,0,0,2,0,5,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
sm10533832,85,3,0,9,10,17,0,5,0,0,3,2,6,21,1,16,7,2,25,7,5,2,0,8,2,1,4,9,1,4
sm10543519,20,1,1,2,0,1,0,3,1,0,0,0,0,8,2,1,1,0,0,1,1,0,0,0,0,0,2,0,1,0
sm10565041,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
sm10626762,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sm10628168,5,0,1,0,0,7,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0
sm10632158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10659443,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm10713103,39,1,0,3,0,0,0,73,1,0,0,0,0,7,10,25,3,0,1,0,1,1,19,5,0,2,0,7,0,0
sm10820620,31,0,1,1,0,1,0,4,0,1,1,0,0,1,2,3,0,0,1,1,1,0,3,0,0,0,1,3,0,0
sm10868543,14,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
sm10907267,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10975244,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm10971662,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
