動画ID,aa,ccc,gumi,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うまい,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ぐみ,こい,ここ,こと,これ,これはいい,こわい,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,ぽい,みたい,もきゅもきゅ,やばい,よい,よさげ,らん,りんり,アブ,イイ,エコノミー,エロゲ,カラオケ,キリトリセン,コピー,サムネ,タグ,ダイヤ,ネギ,ハート,バトル,パパ,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,乖離,兄さん,六芒星,共感,可愛い,大好き,好き,好きだ,小説,忍者,愛愛愛,感じ,摩可,最高,期待,画質,素敵,綺麗,翼翼,良い,雪だるま,雪の結晶,髑髏,鳥肌
nm10674682,0,542,0,0,1,0,0,0,0,4,0,5,0,2,0,0,0,2,0,0,16,1,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,8,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
nm12177206,0,0,0,0,0,0,0,26,1,2,11,8,0,2,1,2,1,0,0,0,39,3,9,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,10,2,12,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,4,6,3,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
nm13287759,0,0,0,1,0,0,0,0,0,0,0,11,2,0,1,0,1,0,2,6,1,0,0,0,0,1,0,0,10,0,9,13,1,0,0,10,2,0,0,0,0,3,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,0,1,0,4,1,0,0,1,0,0,0,0
sm10027079,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10038694,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,0,17,0,1,0,0,0,0,0,3,1,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sm10037227,0,0,0,1,1,0,0,0,0,0,0,11,3,1,0,4,0,0,9,32,0,0,2,0,0,2,7,4,4,0,0,4,3,0,0,1,0,0,0,0,1,1,2,0,0,3,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,5,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1
sm10066433,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1
sm10175368,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10219141,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sm10385393,0,0,0,0,1,0,0,36,0,3,0,10,5,1,0,9,3,0,3,16,1,0,3,1,0,3,0,0,3,1,0,3,1,1,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,3,0,2,2,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
