動画ID,aa,ccc,gumi,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うまい,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ぐみ,こい,ここ,こと,これ,これはいい,こわい,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,ぽい,みたい,もきゅもきゅ,やばい,よい,よさげ,らん,りんり,アブ,イイ,エコノミー,エロゲ,カラオケ,キリトリセン,コピー,サムネ,タグ,ダイヤ,ネギ,ハート,バトル,パパ,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,乖離,兄さん,六芒星,共感,可愛い,大好き,好き,好きだ,小説,忍者,愛愛愛,感じ,摩可,最高,期待,画質,素敵,綺麗,翼翼,良い,雪だるま,雪の結晶,髑髏,鳥肌
nm10674682,0.0,0.9997850285440191,0.0,0.0,0.0008120563183354557,0.0,0.0,0.0,0.0,0.0024776277544817085,0.0,0.0017001412772033066,0.0,0.0015317697265926325,0.0,0.0,0.0,0.001998762239922144,0.0,0.0,0.007551178384047445,0.0007990390118097481,0.0,0.0,0.0,0.0,0.0,0.0007990390118097481,0.006682864947932837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015375063707561466,0.0,0.0024776277544817085,0.00462989373560981,0.0008291572360693433,0.0,0.0,0.0006972205904211063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00133806699005793,0.0,0.0,0.0,0.014384606363408771,0.006523200495230224,0.0,0.0,0.001998762239922144,0.0,0.0,0.0006608213093177989,0.0,0.0,0.0008587031948611602,0.0,0.0,0.0,0.0008362776990378604,0.0,0.0,0.0,0.0,0.003654185214357516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030521738968556224
nm12177206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42472399602040545,0.035221546944702385,0.030061593567445446,0.3679572059763528,0.06601018218666485,0.0,0.03717058696686852,0.02184515322936889,0.03085089933088127,0.0170303186740781,0.0,0.0,0.0,0.44664789484165207,0.058169479190184524,0.14258271227044508,0.0,0.0,0.0,0.0,0.0,0.05067790388595671,0.0,0.0,0.02658092655790292,0.015700850486598306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05596469228449297,0.016755261754627052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016234251720723823,0.0,0.3378519811301889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23270872139275672,0.03957370143514381,0.4760699982349052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15684180626162264,0.0,0.04058695298762278,0.0,0.0,0.0,0.05898543380685018,0.059116026360553194,0.08917188627441018,0.034834721959830124,0.030941276984580827,0.0,0.0,0.0,0.0,0.0,0.0,0.060619722491165484,0.01931293395394141,0.017674354888294344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm13287759,0.0,0.0,0.0,0.06251636858584454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2310598908343359,0.05674088069015964,0.0,0.055611681859116725,0.0,0.04335445277577333,0.0,0.09125546671487215,0.20508006022299766,0.0291549041943095,0.0,0.0,0.0,0.0,0.04803206098551836,0.0,0.0,0.2580236850345169,0.0,0.5984092508971494,0.43983967987295136,0.03996999668578147,0.0,0.0,0.3075720229411561,0.08967770980621517,0.0,0.0,0.0,0.0,0.12796270317461145,0.03826422639607055,0.0476690661779638,0.0,0.0,0.0,0.04307121030851715,0.0,0.18864277605827295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05037181637252513,0.0,0.0,0.0,0.0,0.0,0.08164524680140589,0.0,0.0,0.0,0.0,0.0,0.0,0.05166154463371125,0.0,0.0,0.0,0.0,0.0,0.037834468498965844,0.20691885570807972,0.0,0.0,0.0,0.0,0.038482868013696186,0.0,0.03826422639607055,0.0,0.1966614246255395,0.044993989778543915,0.0,0.0,0.03582245904947684,0.0,0.0,0.0,0.0
sm10027079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12761380124470406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601901948972606,0.0,0.0,0.08605265638351535,0.0,0.8869936044356299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31676595817144526,0.0,0.0,0.0,0.17082777109347647,0.0,0.0,0.0,0.0,0.1258273013595896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361462295100703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24117685694107507,0.13960245115663247,0.0,0.0,0.12882035014168847,0.0,0.0,0.0,0.0,0.8129545243494996,0.0,0.06615169994032383,0.0,0.0,0.0,0.0,0.0,0.12696573775081504,0.07939098888356869,0.0,0.0,0.06556013280239494,0.0,0.0,0.15134699281196012,0.07354619779592751,0.09772183445039252,0.0,0.0,0.0,0.06996290976147183,0.0,0.0,0.0,0.0,0.0,0.07064684768389687,0.0,0.30941822557098925,0.06778739149618858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09716935201572038,0.0,0.0,0.0,0.10126368430600902,0.0,0.0,0.06695863981505643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12342180260412867,0.12411473530007039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07380065523598796,0.07354619779592751,0.0,0.0,0.0,0.0,0.0,0.0
sm10037227,0.0,0.0,0.0,0.04687248991989526,0.03761207578668418,0.0,0.0,0.0,0.0,0.0,0.0,0.17324026729340136,0.06381336004530082,0.0354735489051087,0.0,0.11776955657504917,0.0,0.0,0.3078900723471508,0.8200615421116477,0.0,0.0,0.06047690725951889,0.0,0.0,0.0720253701647437,0.20082383616152014,0.14803660874314165,0.07738269416124142,0.0,0.0,0.10146945476382496,0.08990413114830617,0.0,0.0,0.02306062695429093,0.0,0.0,0.0,0.0,0.03560640120252176,0.03198058711316247,0.05737823890329147,0.0,0.0,0.107627833092681,0.0,0.0322932204267665,0.0,0.02828749276155035,0.0929584226689102,0.0,0.0,0.0,0.0,0.035875944364226996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08465601509140618,0.0,0.0,0.050225488371401554,0.0,0.0,0.0,0.14183451338086178,0.11081442917391753,0.05905728113884075,0.0,0.0,0.0,0.0,0.0,0.0860673583549372,0.0,0.0,0.0,0.0,0.0,0.026858371474293475,0.0,0.0,0.0,0.03534194406552546
sm10066433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605388950751337,0.14075594806130765,0.0,0.0,0.0,0.0,0.0,0.11318778962358046,0.0,0.0723239775377389,0.0,0.0,0.22323134964798222,0.0,0.0,0.09492128775057035,0.0,0.06400741047292949,0.0,0.0,0.08393087255400235,0.0,0.0,0.0,0.0,0.0,0.0,0.3894096771667423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298422172414952,0.0,0.0,0.09359245914420244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074820373176816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492128775057035,0.0,0.0,0.11161567482399111,0.33369250468638956,0.0,0.0,0.0,0.0,0.0,0.11693293159319548
sm10175368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43547022471296065,0.294078089157606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3022095678018807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674583521771602,0.0,0.0,0.3507095929084429,0.0,0.0,0.0,0.318818431031371,0.0,0.0,0.0,0.0,0.0,0.0,0.3966336244619469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42315307545662695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10219141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685371488828046,0.09598493127100385,0.0,0.0,0.0,0.0,0.0,0.0,0.3469208663335321,0.0986389862570047,0.0,0.0,0.15222692929582152,0.0,0.0,0.0,0.0,0.34918577749357205,0.0,0.0,0.0,0.2704587830236015,0.0,0.0,0.3121799921728437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16188851605548396,0.0,0.14572164234803456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22014772683403233,0.0,0.19502009806572765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13811406004835214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12800431767630288,0.10000898270089384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663397985432909,0.0,0.0,0.0,0.12119714139081723,0.0,0.0,0.0,0.0
sm10385393,0.0,0.0,0.0,0.0,0.026269495772766323,0.0,0.0,0.7839630630823509,0.0,0.06011223946535359,0.0,0.10999693761670419,0.07428220666253514,0.024775879116400255,0.0,0.18507169064128662,0.0681088706765095,0.0,0.07168014336558398,0.28637881269952264,0.015267233023146917,0.0,0.06335855545227684,0.023561515483360676,0.0,0.07545728801856695,0.0,0.0,0.04053494086612621,0.02534627921443383,0.0,0.05315217301686836,0.020930655414581723,0.025951983654125255,0.0,0.03221258224240605,0.02348027768276569,0.0,0.0,0.0,0.0,0.0,0.0,0.024962343778746933,0.0,0.025056925179165843,0.05481809641438992,0.0,0.0,0.05927071207684722,0.0,0.054577870117292995,0.060051637790413136,0.0,0.0,0.025056925179165843,0.0,0.0,0.0,0.0,0.0,0.0,0.36928729195140153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02777849200620065,0.0,0.14934594986543173,0.0,0.05410608349126526,0.0,0.0,0.0,0.0,0.0,0.03962473298014578,0.030958559110171053,0.020623761980415527,0.0,0.0,0.0,0.0,0.0,0.0,0.1885603514941683,0.051491779503226476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
