動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
nm10674682,542,0,0,0,4,0,5,0,0,0,16,0,0,16,0,0,4,0,0,2,1,1,0,1,0,6,0,0,0,0
nm12177206,0,0,26,1,2,11,8,0,2,0,39,9,0,5,2,0,0,0,12,0,0,0,7,2,0,4,6,3,0,0
nm13287759,0,0,0,0,0,0,11,2,0,6,1,0,0,10,13,10,1,5,0,0,2,0,0,1,0,0,1,7,0,1
sm10027079,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
sm10038694,0,0,0,0,0,0,7,3,2,0,17,1,0,3,0,3,0,5,0,1,1,0,0,0,0,2,2,0,0,0
sm10037227,0,0,0,0,0,0,11,3,4,32,0,2,7,4,4,1,2,1,0,0,0,0,0,0,0,0,5,5,0,3
sm10066433,0,0,0,0,0,0,5,2,0,0,1,0,1,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1
sm10175368,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sm10219141,0,0,0,0,0,0,8,1,0,3,1,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0
sm10385393,0,0,36,0,3,0,10,5,9,16,1,3,0,3,3,2,0,3,0,0,0,1,5,2,0,0,2,2,0,0
sm10242501,0,0,0,0,1,0,20,5,1,10,0,0,0,6,2,2,1,2,0,0,0,0,1,1,0,0,0,5,0,0
sm10393864,0,26,0,0,3,0,45,5,0,1,13,1,8,7,4,2,8,3,0,0,0,0,0,1,0,13,17,17,0,11
sm10443985,0,0,1,0,7,0,2,1,8,0,2,0,0,2,2,3,2,0,0,0,2,0,0,0,0,1,0,0,0,0
sm10445286,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1
sm10446457,0,0,13,0,0,0,23,3,7,0,133,14,1,9,12,0,2,0,0,26,0,41,1,4,0,34,16,6,0,1
sm10446708,0,0,3,0,0,0,12,3,0,5,0,0,0,3,7,2,1,0,0,0,0,8,0,0,0,1,5,2,0,1
sm10453745,0,0,3,0,1,0,1,0,0,2,5,5,0,3,0,1,0,0,0,0,0,3,0,0,0,1,0,5,0,1
sm10533832,0,0,103,0,18,87,58,13,7,14,5,37,9,62,22,16,7,21,0,0,4,0,0,156,0,0,70,51,0,24
sm10543519,0,0,0,0,8,0,12,5,2,1,3,1,6,9,1,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1
sm10565041,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm10628168,0,2,0,0,0,0,1,0,0,5,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3
sm10626762,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10632158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10659443,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10820620,0,13,0,0,0,0,19,5,1,1,3,0,2,5,6,1,1,1,0,0,0,0,0,0,0,2,2,2,0,4
sm10713103,0,0,0,0,3,0,25,3,3,0,66,0,1,6,11,4,22,1,0,1,0,0,0,0,0,13,1,9,0,4
sm10868543,0,0,0,0,1,0,13,5,0,0,3,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sm10971662,0,0,11,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sm10907267,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10975244,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
sm11049254,0,0,1,0,0,0,5,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11080597,0,0,0,0,0,0,6,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm11139657,0,0,14,0,2,0,14,2,0,6,0,0,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,2,0,0
sm11086161,0,0,41,0,4,0,14,3,1,30,3,14,2,4,8,0,8,3,0,0,0,0,0,0,0,1,4,5,0,1
sm11151641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
