動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
nm10674682,0.999931942550553,0.0,0.0,0.0,0.002477991830967871,0.0,0.0017003911054759616,0.0,0.0,0.0,0.007552287996452892,0.0,0.0,0.00668384696550321,0.0,0.0,0.002477991830967871,0.0,0.0,0.001999055949230037,0.0006609184140987099,0.0008588293775136092,0.0,0.0008364005863624681,0.0,0.003654722180780428,0.0,0.0,0.0,0.0
nm12177206,0.0,0.0,0.4713675677937274,0.03908960895267927,0.033362984848187234,0.4083665977396674,0.07325947984689367,0.0,0.034238972881456824,0.0,0.4956991689294219,0.15824127415000958,0.0,0.05624339693408806,0.029500067852771924,0.0,0.0,0.0,0.5283524342165261,0.0,0.0,0.0,0.17406631468584172,0.045044248719620164,0.0,0.06560820161869325,0.0989648231382909,0.03866030249957196,0.0,0.0
nm13287759,0.0,0.0,0.0,0.0,0.0,0.0,0.3126293035989216,0.07677170603561144,0.0,0.27747800008920115,0.03944725050223127,0.0,0.0,0.3491119322920646,0.5951131211796611,0.41615196385402353,0.05177237125733705,0.25523797962126177,0.0,0.0,0.11046788154152712,0.0,0.0,0.06989924847346851,0.0,0.0,0.05119089901824425,0.2799659323299993,0.0,0.05177237125733705
sm10027079,0.0,0.0,0.0,0.0,0.5296197694303537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35713369234503706,0.0,0.0,0.0,0.5222054800038726,0.0,0.0,0.5650308507280503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.0,0.0,0.0,0.0,0.2487996746022037,0.14401483153056538,0.13289194329796197,0.0,0.8386493782608757,0.0682425404671244,0.0,0.13097871262892122,0.0,0.15613058002840516,0.0,0.31919793140376695,0.0,0.10446430069577894,0.06907498509221571,0.0,0.0,0.0,0.0,0.1273227651947845,0.128037599244196,0.0,0.0,0.0
sm10037227,0.0,0.0,0.0,0.0,0.0,0.0,0.1907132924127132,0.07024957987132334,0.12964780204578005,0.9027730049174096,0.0,0.06657661223107844,0.22107894190933067,0.08518751794732721,0.1117036708593731,0.02538652335432929,0.06316541197409448,0.031140571201725142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15613995202863262,0.12199118002283413,0.0,0.09474811796114171
sm10066433,0.0,0.0,0.0,0.0,0.0,0.0,0.3278904452382795,0.17714257391952526,0.0,0.0,0.09102034914753837,0.0,0.11945925883407903,0.08055387780955259,0.1056277265743102,0.0,0.0,0.11778691657876361,0.0,0.0,0.0,0.0,0.8903722422991112,0.0,0.0,0.0,0.0,0.0,0.0,0.11945925883407903
sm10175368,0.0,0.0,0.0,0.0,0.0,0.0,0.43547022471296065,0.294078089157606,0.0,0.0,0.3022095678018807,0.0,0.0,0.2674583521771602,0.3507095929084429,0.318818431031371,0.3966336244619469,0.0,0.0,0.0,0.42315307545662695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10219141,0.0,0.0,0.0,0.0,0.0,0.0,0.666619380114682,0.11254394811308378,0.0,0.4067705572424771,0.11565587227324602,0.0,0.0,0.40942620371428207,0.0,0.3660362973209427,0.0,0.0,0.0,0.0,0.16194106097635708,0.0,0.0,0.0,0.0,0.0,0.15008721781691242,0.11726221617175696,0.0,0.0
sm10385393,0.0,0.0,0.8798630674861418,0.0,0.0674656012510269,0.0,0.12345255472240113,0.0833689408232645,0.2077109918830239,0.321410730263414,0.017134830851540644,0.07110902997463699,0.0,0.04549346658069878,0.0596541293798983,0.03615305715044355,0.0,0.06652113217551506,0.0,0.0,0.0,0.03117655708244453,0.1676150213615703,0.060724729049237376,0.0,0.0,0.044471915514938044,0.03474563288291659,0.0,0.0
sm10242501,0.0,0.0,0.0,0.0,0.0617725764257496,0.0,0.6782107234027638,0.2290017804500267,0.06339449478765324,0.5517914462450928,0.0,0.0,0.0,0.2499272449174883,0.1092405373375438,0.09930694062329762,0.0617725764257496,0.12181561106822118,0.0,0.0,0.0,0.0,0.09208258601567258,0.08340079010419826,0.0,0.0,0.0,0.2386024014002619,0.0,0.0
sm10393864,0.0,0.6981518066684578,0.0,0.0,0.05290275775025719,0.0,0.43562070355277044,0.06537326872487567,0.0,0.0157520218509131,0.17467030982725545,0.018586577044928946,0.14107402066735253,0.08323801848531154,0.06236991685377294,0.028349208913809345,0.14107402066735253,0.05216215783299711,0.0,0.0,0.0,0.0,0.0,0.02380847106356229,0.0,0.2254050537441673,0.29641534205844383,0.23158747575348695,0.0,0.1939767784176097
sm10443985,0.0,0.0,0.09122055484264574,0.0,0.58754252079878,0.0,0.09215315300027364,0.06223209212990862,0.6891076623773539,0.0,0.12790571184585706,0.0,0.0,0.11319777587838074,0.1484326272606051,0.2024027498562523,0.1678692916567943,0.0,0.0,0.0,0.17909325548397384,0.0,0.0,0.0,0.0,0.08252860455023557,0.0,0.0,0.0,0.0
sm10445286,0.0,0.0,0.0,0.0,0.0,0.0,0.06143643954329076,0.0,0.0,0.4998461489617235,0.0,0.0,0.0,0.07546641745580279,0.0,0.17991649625419434,0.0,0.0,0.0,0.0,0.0,0.0,0.8341398968683258,0.0,0.0,0.0,0.0,0.0,0.0,0.11191469040692575
sm10446457,0.0,0.0,0.1068949243588006,0.0,0.0,0.0,0.0955276429228107,0.016828936768586558,0.05435207821768469,0.0,0.7667126114039816,0.1116433037306496,0.007565929404993405,0.04591678057260019,0.0802789433255574,0.0,0.01513185880998681,0.0,0.0,0.317388149538471,0.0,0.4300442588388057,0.011278311275574378,0.04085984601969785,0.0,0.2529323862838918,0.11969526409367824,0.035068938923592086,0.0,0.007565929404993405
sm10446708,0.0,0.0,0.1960034114463056,0.0,0.0,0.0,0.3960145253390373,0.13371659907072211,0.0,0.268497459725756,0.0,0.0,0.0,0.1216126687596315,0.37208921743280055,0.09664398196795725,0.06011611801485548,0.0,0.0,0.0,0.0,0.6667268237838179,0.0,0.0,0.0,0.0591090756597292,0.297204672292386,0.0928816698357875,0.0,0.06011611801485548
sm10453745,0.0,0.0,0.3321902176876383,0.0,0.10188591199781898,0.0,0.05593106365220918,0.0,0.0,0.18202179020605605,0.3881528888496367,0.536940917734418,0.0,0.20611140699407504,0.0,0.08189700671850482,0.0,0.0,0.0,0.0,0.0,0.4237428709084124,0.0,0.0,0.0,0.10017915793317499,0.0,0.39354394260624953,0.0,0.10188591199781898
sm10533832,0.0,0.0,0.34167052869731035,0.0,0.054940341276463266,0.5909635902352717,0.09718198879714544,0.029419503512307904,0.021926671871298785,0.03817034909334731,0.011628067208099202,0.11903178079021243,0.027470170638231633,0.1276077858556641,0.059374456224916605,0.0392547957517361,0.021365688274180162,0.06319975279339665,0.0,0.0,0.013025272327444585,0.0,0.0,0.6428622081220404,0.0,0.0,0.21125723321854636,0.12025360769769494,0.0,0.07325378836861769
sm10543519,0.0,0.0,0.0,0.0,0.5055330222590184,0.0,0.4162744253621852,0.234262452839309,0.12970161032180486,0.056446730413667434,0.14444399069833586,0.06660424380424203,0.37914976669426387,0.3835029315755787,0.05587501585334103,0.4063529540890712,0.0631916277823773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062481902181517744,0.0,0.0,0.0631916277823773
sm10565041,0.0,0.0,0.0,0.0,0.0,0.0,0.5014217825769302,0.0,0.0,0.40795617208577634,0.0,0.0,0.0,0.6159293384623851,0.0,0.0,0.0,0.4503099017740817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10628168,0.0,0.4481216412933486,0.0,0.0,0.0,0.0,0.08077656897690026,0.0,0.0,0.6571972143827453,0.0,0.0,0.0,0.0,0.26021634559380064,0.2365540284853022,0.0,0.1450853955913037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14549268580164237,0.0,0.0,0.4414359674674886
sm10626762,0.0,0.0,0.0,0.0,0.0,0.0,0.7788289275204199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272364001374541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10632158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10659443,0.0,0.0,0.0,0.0,0.0,0.0,0.7155829491572415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6985277681491442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10820620,0.0,0.8123761487510962,0.0,0.0,0.0,0.0,0.42804250089239015,0.1521379269400217,0.042116297076162976,0.036658407882241006,0.09380679249893495,0.0,0.082077542809397,0.1383665112881633,0.21772270314694855,0.03298741181726599,0.0410387714046985,0.0404642586193678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08070261101500988,0.08115570339123722,0.0634064497500592,0.0,0.164155085618794
