動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
nm12177206,0,0,0,0,1,0,1,0,0,26,1,2,11,11,0,2,2,2,1,0,0,0,38,3,9,0,0,0,6,2,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,12,0,0,1,0,0,0,0,0,9,1,2,0,0,0,1,2,0,1,1,4,6,3,2,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0
nm10674682,0,542,0,0,0,0,1,0,0,0,0,6,0,6,0,2,0,0,0,2,0,0,16,1,0,0,0,1,17,0,0,0,0,0,2,0,0,0,2,1,4,6,1,0,1,0,0,0,1,0,0,0,0,4,0,8,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
nm13287759,0,0,0,0,0,1,0,0,0,0,0,1,0,18,3,0,0,1,0,0,2,6,1,0,0,0,0,0,10,17,2,1,0,13,3,0,0,0,0,4,2,1,0,0,3,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,8,1,0,0,0,0,1,0,1,0,1,0,5,0,2,0,0,2,1,15,0,1
sm10027079,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10038694,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,2,0,0,0,0,17,0,1,0,0,0,4,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
sm10037227,0,10,1,0,0,4,1,0,0,1,0,0,0,11,3,1,0,7,0,0,8,33,0,0,3,0,8,5,5,8,3,0,0,3,1,0,0,0,1,1,2,1,2,4,3,0,3,3,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,3,2,0,5,14,2,0,1,0,0,0,0,4,0,5,0,0,1,0,1,0,32,2,4,2,1
sm10175368,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sm10066433,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,1,0,0,2,2,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,2,0,1
sm10219141,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,1,0,0,1,3,1,0,0,1,0,0,4,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0
sm10242501,0,0,0,0,0,0,1,0,0,0,0,2,0,30,5,0,0,2,1,0,1,11,0,0,0,4,1,0,7,2,3,1,0,3,0,0,0,8,1,3,3,0,0,0,0,0,5,1,0,0,0,0,0,5,0,1,0,0,0,17,0,0,0,0,18,1,0,1,0,0,0,0,0,0,1,0,0,1,9,6,0,0,0,0,3,1,2,0,0,0,0,0,2,0,0,12,6,22,1,1
sm10385393,0,0,0,0,8,2,1,0,0,36,0,3,0,10,5,1,0,11,3,0,3,16,1,0,3,1,1,0,3,4,1,1,0,3,1,0,0,0,0,0,1,1,1,1,0,0,3,1,2,0,0,2,0,0,1,14,0,0,0,5,0,0,0,1,0,6,0,2,2,1,0,1,0,0,13,0,0,2,4,1,0,0,0,0,0,3,0,7,0,0,2,0,1,0,0,13,0,0,1,0
