動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
nm12177206,0.0,0.0,0.0,0.0,0.021281594890351287,0.0,0.020479782500991486,0.0,0.0,0.46368020658060555,0.038811849886519846,0.03177275886234957,0.4054648668736415,0.094825706142412,0.0,0.03922397086273666,0.046132315105864755,0.030285485078140037,0.018463206770869652,0.0,0.0,0.0,0.4698290603645062,0.0635932274399154,0.1516524090742491,0.0,0.0,0.0,0.06245109804955133,0.026501520446654634,0.03322028140263164,0.0,0.0,0.011901414750436067,0.0,0.0,0.0,0.0,0.05822650866353507,0.016657599401524583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03160059372395372,0.0,0.0,0.0,0.020951276161877943,0.0,0.017510143525651608,0.0,0.041902552323755886,0.5245981198945615,0.0,0.0,0.015222073421451614,0.0,0.0,0.0,0.0,0.0,0.20301370815267572,0.021281594890351287,0.04290390489949994,0.0,0.0,0.0,0.02207814096960675,0.06250342733568556,0.0,0.018000698880134496,0.01628550234175928,0.06320118744790744,0.08809456688484195,0.03469425626909278,0.030364621521305715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06143934750297446,0.0,0.0,0.020951276161877943,0.0,0.017724505338014996,0.0,0.0,0.0,0.012707084390461566,0.0,0.0,0.0
nm10674682,0.0,0.999870756347884,0.0,0.0,0.0,0.0,0.0008038889002306213,0.0,0.0,0.0,0.0,0.0037415096832073827,0.0,0.0020302772246209647,0.0,0.0015396508628935275,0.0,0.0,0.0,0.0019484614383845442,0.0,0.0,0.007765098227242537,0.0008320708429775298,0.0,0.0,0.0,0.0007247326471873615,0.006945578783660635,0.0,0.0,0.0,0.0,0.0,0.0013114627432269201,0.0,0.0,0.0,0.0015237025103996052,0.0006538574939809815,0.0023289434972124366,0.004376629407291102,0.0007247326471873615,0.0,0.0006538574939809815,0.0,0.0,0.0,0.0008740158285034101,0.0,0.0,0.0,0.0,0.0027492889675044025,0.0,0.006579170790074434,0.0,0.0,0.0020851093665634657,0.0011950181464483898,0.0006270002633062689,0.0,0.0,0.0008255885498746726,0.0,0.0,0.0,0.0008420492972420094,0.0,0.0,0.0,0.0008666289528384659,0.0,0.0,0.002119733746015125,0.0006392516408114327,0.00372123578961163,0.0005763264696611564,0.0,0.0,0.0,0.0020480944695060997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010181102144663874,0.0,0.0,0.0,0.0,0.0030901144323260063
nm13287759,0.0,0.0,0.0,0.0,0.0,0.05125373590724186,0.0,0.0,0.0,0.0,0.0,0.03331976509288923,0.0,0.32544897291747915,0.07471923233962531,0.0,0.0,0.031760076388066154,0.0,0.0,0.08169707036941658,0.1824480857738183,0.025931836754576068,0.0,0.0,0.0,0.0,0.0,0.21830607846793337,0.4724618178456721,0.0696755341549531,0.04099055554399236,0.0,0.324503168968266,0.10511229639647447,0.0,0.0,0.0,0.0,0.13974922391217431,0.06222075323499502,0.03897578146171208,0.0,0.0,0.10481191793413072,0.0,0.23010362662287634,0.0,0.046700938218450824,0.0,0.0,0.0,0.0,0.0,0.0,0.043942775201511075,0.0,0.0,0.0,0.0,0.1005067629373175,0.0,0.0,0.0,0.0,0.0,0.0,0.0449928833379653,0.0,0.0,0.0,0.0,0.0,0.0,0.03775429516790551,0.0,0.0,0.06158924352523559,0.19404538316895958,0.03184306596124079,0.0,0.0,0.0,0.0,0.03217914296110383,0.0,0.03260881993392198,0.0,0.035341404447306865,0.0,0.21971387600755535,0.0,0.07435002503986501,0.0,0.0,0.06402054514763654,0.02665157714128631,0.486534623321438,0.0,0.041278212157526445
sm10027079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30521374831152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19997144728552466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745776428052022,0.0,0.0,0.0,0.35472050562568713,0.0,0.0,0.0,0.3011116683010959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3068853753043916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28070933122123237,0.21482513373648862,0.0,0.0,0.1095760078455049,0.0,0.0,0.0,0.0,0.7604770989861833,0.0,0.06096600593259872,0.0,0.0,0.0,0.15063634151655902,0.0,0.06009720178185442,0.0,0.0,0.1291816372795388,0.0604416357707866,0.08583081263204051,0.0,0.0,0.0,0.0602689122528274,0.0,0.0,0.0,0.0,0.0602689122528274,0.0,0.3402362741021285,0.05716710326554927,0.0,0.0,0.0,0.0,0.0,0.0,0.18668203426670857,0.0,0.0,0.0,0.09609683654907936,0.05507503123526893,0.05779336353802551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11784525344496793,0.11433420653109853,0.10624507556687982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06096600593259872,0.0,0.0,0.0,0.06412908794311781,0.06452472303657968,0.0,0.0,0.0,0.0,0.0,0.0
sm10037227,0.0,0.4989170194878025,0.020819773153775156,0.0,0.0,0.10376788129938436,0.021741012780241896,0.0,0.0,0.018932137090522366,0.0,0.0,0.0,0.1006654679578669,0.03781898185056907,0.020819773153775156,0.0,0.1125270697272917,0.0,0.0,0.16540319940664547,0.5079014258676386,0.0,0.0,0.05366393195627771,0.0,0.13133785247636598,0.09800123960063845,0.05524758058220356,0.11253437768661191,0.05289918697888131,0.0,0.0,0.0379030602761035,0.01773412237258646,0.0,0.0,0.0,0.020604113169357723,0.017683443730867884,0.03149290301360734,0.01972750957895651,0.039200495840255374,0.07814926880066113,0.053050331192603654,0.0,0.0499141994055391,0.050320034794005895,0.0,0.0,0.0,0.04448308596790162,0.0,0.018588491071945285,0.10954839319717183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296102057545243,0.0,0.0,0.0,0.0,0.04687560963706175,0.0,0.0,0.05732777060313168,0.034576862769680944,0.0,0.07793316426498914,0.17187740746679364,0.032234601345495516,0.0,0.027695150426819352,0.0,0.0,0.0,0.0,0.06601954172355483,0.0,0.08943988659379619,0.0,0.0,0.024375827266725963,0.0,0.018932137090522366,0.0,0.5184618223049898,0.026979279112877536,0.06566892623818299,0.05188394064969218,0.02089288001934604
sm10175368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41514002679762235,0.28593371032363024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977059345995338,0.0,0.0,0.0,0.0,0.0,0.2506224905475954,0.3190597410650167,0.0,0.0,0.0,0.2865693925920271,0.0,0.0,0.0,0.0,0.0,0.0,0.35715725940705695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846167946246974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674883581739632,0.0,0.0,0.0,0.0
sm10066433,0.0,0.0,0.094316979720095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2487442061518703,0.1142174514547318,0.0,0.0,0.0,0.0,0.0,0.09366294536959612,0.0,0.059459958558964125,0.0,0.0,0.1799080656997272,0.14874549156949016,0.0,0.05005611635505413,0.06372489351641372,0.0,0.0,0.0,0.057235688736640096,0.0,0.0,0.29521876267686215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08010889414725847,0.0,0.15074632812776742,0.0,0.0,0.0,0.0,0.0,0.0,0.33683562688423024,0.08271202495205175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5424018746581695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476983216723251,0.0,0.0,0.0,0.0,0.0,0.08523980483079727,0.5145940765548863,0.0,0.0,0.0,0.14874549156949016,0.0,0.09464816578569335
sm10219141,0.0,0.0,0.0,0.0,0.1274747505430649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5679970555709801,0.07113021897044301,0.0,0.0,0.09070360269760519,0.0,0.0,0.11665933232972708,0.26052674563442146,0.07405873302905622,0.0,0.0,0.1120397972882654,0.0,0.0,0.249384133285875,0.07937080668425103,0.29847953876973166,0.0,0.0,0.21386506287306947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11023778926945241,0.09977745273773524,0.0,0.0,0.09464229120816728,0.0,0.0,0.0,0.12549617244641423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117878721709531,0.19135817732298854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114438388421487,0.0,0.0,0.0,0.11240838030225636,0.10782249221303995,0.09754862636848155,0.0,0.26383908244903176,0.13854355327428705,0.09094061262104809,0.0,0.0,0.0,0.0,0.0919004149306809,0.0,0.0,0.0,0.0,0.0,0.12549617244641423,0.0,0.0,0.0,0.0,0.27425441396626776,0.07611423961172038,0.0,0.0,0.0
sm10242501,0.0,0.0,0.0,0.0,0.0,0.0,0.026450486653823588,0.0,0.0,0.0,0.0,0.04103583298323827,0.0,0.3340127013695097,0.07668536303644265,0.0,0.0,0.03911495734025176,0.023845995642582142,0.0,0.025154043895215677,0.20597384341694366,0.0,0.0,0.0,0.09663192554658391,0.019973483694059293,0.0,0.09410120727416743,0.034227810419682675,0.0643580523743867,0.025241498349464583,0.0,0.04611350906721613,0.0,0.0,0.0,0.19649228193825985,0.025067315212438025,0.06454193700056653,0.05747220375183782,0.0,0.0,0.0,0.0,0.0,0.10121077603863522,0.020406737290981324,0.0,0.0,0.0,0.0,0.0,0.11307537509476988,0.0,0.027059440229577427,0.0,0.0,0.0,0.3342189423929826,0.0,0.0,0.0,0.0,0.5681059774982893,0.029133400642401126,0.0,0.027706084375803287,0.0,0.0,0.0,0.0,0.0,0.0,0.02324864756085393,0.0,0.0,0.018962963152799373,0.13442720336979355,0.11765149599496255,0.0,0.0,0.0,0.0,0.05944660469908646,0.03108990097246408,0.04016024977542484,0.0,0.0,0.0,0.0,0.0,0.045783864341927806,0.0,0.0,0.23653855819664246,0.09847035223034474,0.4394166412693044,0.031561443194349406,0.02541863388323261
