動画ID,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,これ,さん,すごい,ない,ダイヤ,ハート,ミク,ミリオン,リン,レン,中毒,初見,可愛い,大好き,好き,最高,神曲,脚気,良い
nm12177206,0,26,1,2,11,11,0,2,0,38,9,6,2,1,0,12,0,0,0,0,9,2,1,4,6,3,0,0,0,1
nm10674682,0,0,0,6,0,6,0,0,0,16,0,17,0,0,4,0,2,1,0,1,0,1,3,6,1,0,0,0,0,0
nm13287759,0,0,0,1,0,18,3,1,6,1,0,10,17,13,2,0,0,3,0,0,0,1,1,0,2,8,1,0,2,1
sm10027079,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm10038694,0,0,0,0,0,9,5,2,0,17,1,4,0,3,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0
sm10037227,0,1,0,0,0,11,3,7,33,0,3,5,8,3,2,0,0,0,0,0,0,0,3,0,5,14,4,1,32,2
sm10175368,0,0,0,0,0,2,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
sm10066433,0,0,0,0,0,6,2,0,0,1,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0
sm10219141,0,0,0,0,0,11,1,1,3,1,0,4,1,3,0,0,0,2,0,0,0,0,1,0,3,2,0,0,3,1
sm10242501,0,0,0,2,0,30,5,2,11,0,0,7,2,3,3,0,0,0,0,0,1,1,1,0,1,9,2,0,12,6
sm10385393,0,36,0,3,0,10,5,11,16,1,3,3,4,3,1,0,0,0,0,1,6,2,13,0,2,4,0,0,13,0
sm10393864,36,0,0,4,0,77,7,1,1,16,1,18,17,6,12,0,0,0,1,0,0,1,0,13,24,36,16,2,0,23
sm10443985,0,1,0,8,0,3,1,8,0,2,0,2,3,3,2,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1
sm10445286,0,0,0,0,0,1,0,0,6,0,0,1,0,3,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,1
sm10446457,0,13,0,1,0,30,4,9,0,135,15,11,16,0,2,0,28,0,2,48,2,4,33,37,19,9,1,4,0,1
sm10446708,0,3,0,0,0,16,3,1,5,0,0,3,12,3,0,0,0,0,0,12,0,0,3,1,6,6,1,0,11,3
sm10453745,0,3,0,1,0,1,0,0,2,5,5,3,0,1,0,0,0,0,0,4,0,0,7,1,0,4,1,0,3,1
sm10533832,0,105,0,19,87,85,15,9,17,5,45,79,29,21,16,0,0,8,202,0,0,182,264,0,87,77,26,16,4,9
sm10543519,0,0,0,8,0,20,5,2,1,3,1,14,2,8,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
sm10565041,0,0,0,0,0,3,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10626762,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sm10628168,2,0,0,0,0,5,1,0,7,0,0,0,4,2,1,0,0,0,0,2,1,0,0,0,2,3,3,0,2,0
sm10632158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10659443,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10713103,0,0,0,3,0,39,3,3,0,73,1,9,17,7,25,0,1,0,0,1,1,0,0,19,2,12,4,0,0,7
sm10820620,13,0,0,0,0,31,6,1,1,4,0,5,6,1,3,0,0,0,0,0,0,0,0,3,3,5,4,0,0,3
sm10868543,0,0,0,1,0,14,6,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
sm10907267,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
