動画ID,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,これ,さん,すごい,ない,ダイヤ,ハート,ミク,ミリオン,リン,レン,中毒,初見,可愛い,大好き,好き,最高,神曲,脚気,良い
nm12177206,0.0,0.470308717360604,0.03936668220783386,0.032226964307482724,0.4112611639828117,0.09618128096847842,0.0,0.030718429295876527,0.0,0.47654547169107275,0.15382034640281103,0.06334386373324724,0.02688037123966657,0.01207155066491096,0.0,0.5320974788137858,0.0,0.0,0.0,0.0,0.20591587765199754,0.043517234931910814,0.01825802672135158,0.0641046759866927,0.08935391713953944,0.0351902257938211,0.0,0.0,0.0,0.012888737703820938
nm10674682,0.0,0.0,0.0,0.2987123210869128,0.0,0.16209200925989123,0.0,0.0,0.0,0.6199450786771956,0.0,0.5545167954719116,0.0,0.0,0.18593674121838133,0.0,0.16646966367658936,0.05005805672905962,0.0,0.06591282473561161,0.0,0.06722700763750039,0.16923398333039627,0.2970937065900328,0.046012393935255275,0.0,0.0,0.0,0.0,0.0
nm13287759,0.0,0.0,0.0,0.04343386538443761,0.0,0.4242378912274483,0.09739999877011113,0.04140073852840913,0.23782957578051778,0.033803356765256316,0.0,0.2845721390396062,0.6158759804694708,0.42300499173684053,0.08110764924641747,0.0,0.0,0.13101524574003226,0.0,0.0,0.0,0.05865031859351072,0.04921448183790119,0.0,0.08028444693252992,0.25294719298098695,0.042507115263474386,0.0,0.08345376181461064,0.03474157187514577
sm10027079,0.0,0.0,0.0,0.640151462038188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41941758866989953,0.0,0.0,0.0,0.0,0.0,0.643657511386838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10038694,0.0,0.0,0.0,0.0,0.0,0.31476640213408025,0.24088880173675006,0.12287032140931019,0.0,0.8527420136404003,0.06836270905709596,0.16891230171625113,0.0,0.1448546046238259,0.0,0.0,0.10775578911262279,0.06480514569625843,0.0,0.0,0.0,0.0,0.0,0.12820580874201676,0.11913526363786484,0.0,0.0,0.0,0.0,0.0
sm10037227,0.0,0.02410303755512904,0.0,0.0,0.0,0.1281600456985788,0.04814841216723192,0.14326138537013422,0.6466236264536529,0.0,0.06832106492328185,0.07033725264272997,0.14327068933920564,0.048255454781520137,0.04009450282488263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0729856012130208,0.0,0.09921890888955341,0.2188219738343358,0.08405134010633476,0.031033553012953775,0.6600683649271532,0.03434808096723187
sm10175368,0.0,0.0,0.0,0.0,0.0,0.41514002679762235,0.28593371032363024,0.0,0.0,0.2977059345995338,0.0,0.2506224905475954,0.3190597410650167,0.2865693925920271,0.35715725940705695,0.0,0.0,0.3846167946246974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674883581739632,0.0
sm10066433,0.0,0.0,0.0,0.0,0.0,0.3992897280466007,0.18334439155415388,0.0,0.0,0.09544644697442904,0.0,0.08035119046863591,0.10229261535616317,0.0918759996213125,0.0,0.0,0.0,0.0,0.0,0.0,0.8706755440647214,0.0,0.0,0.0,0.0,0.0,0.12002219635184766,0.0,0.0,0.0
sm10219141,0.0,0.0,0.0,0.0,0.0,0.6595907336441008,0.08260048684199042,0.1053302218042926,0.3025385881871774,0.08600124520413718,0.0,0.28959914812916265,0.09216992957500818,0.2483523679176213,0.0,0.0,0.0,0.22221608251540492,0.0,0.0,0.0,0.0,0.12520965741740006,0.0,0.30638506353101336,0.16088471418920575,0.0,0.0,0.3184799434062167,0.08838821725191799
sm10242501,0.0,0.0,0.0,0.07950721298825511,0.0,0.6471519415583801,0.14857842643307723,0.0757855030150894,0.39907576008630424,0.0,0.0,0.1823217462712454,0.06631662172596592,0.08934524586208759,0.11135279613961362,0.0,0.0,0.0,0.0,0.0,0.05644616720449393,0.05368073196996734,0.04504441701146199,0.0,0.03674087354078797,0.26045364533244186,0.07781076440827873,0.0,0.45829510842772575,0.19078699513677327
sm10385393,0.0,0.8071479077020689,0.0,0.05991721254544677,0.0,0.1083774218552975,0.07464652008008202,0.2094125179962577,0.29163286124534404,0.015543960871134226,0.06355262217547239,0.03925685450380804,0.06663558302712592,0.04488748366377524,0.018648061122908913,0.0,0.0,0.0,0.0,0.02644224861421325,0.17015296452497192,0.053938918766440684,0.29419692869025227,0.0,0.03691758514830546,0.058156964964510185,0.0,0.0,0.249437152405396,0.0
sm10393864,0.6343206252940473,0.0,0.0,0.04674301425576608,0.0,0.4882653639335322,0.06114542656803454,0.011138746771120065,0.01066455782137104,0.14551509732654497,0.012394773547276635,0.1378139326395225,0.16569961871953903,0.05252688333614974,0.13093064495021997,0.0,0.0,0.0,0.022382413500875095,0.0,0.0,0.015779695485633505,0.0,0.15109162475687146,0.25920352800293134,0.3062461379079905,0.1829826267725172,0.03378055032323312,0.0,0.21498370468668232
sm10443985,0.0,0.09065223991160407,0.0,0.6460233986468985,0.0,0.1314582919628444,0.06036253592745337,0.6157832275318862,0.0,0.1256954638383912,0.0,0.10581619825647286,0.20206699372287423,0.18149019823300463,0.1507966156093179,0.0,0.0,0.16239040201001856,0.0,0.0,0.0,0.0,0.0,0.08031535381162515,0.0,0.11757084869246981,0.0,0.0,0.0,0.06459207619004256
